text,actual
student reported low water pressure engineering block repeatedly keep repeating,water issue
physical assault reported senior junior,harassment
please help facing severe water leakage hostel block almost every day,water issue
lost found support needed regarding classroom amount keep repeating,other
please help experienced coercive behavior auditorium feel unsafe,harassment
please help engineering block keep lab equipment not powered several week,electricity
mark not updated admin office affecting academic progress request immediate action,academic issue
please help look mobile app glitch report main library,other
please help class facing project review not scheduled one month,academic issue
please help main gate pipeline blockage maintenance not fixed two week,water issue
please help noticed generator backup failure near north corridor unsafe,electricity
please help look mobile app glitch report classroom amount,other
facing intermittent water cut classroom amount almost every day keep repeating,water issue
main gate library air conditioning failure need maintenance keep repeating,infrastructure
installment plan not updated related classroom amount payment request immediate action,fees/finance
hostel fee overcharge related canteen payment keep repeating,fees/finance
please help main library pipeline blockage maintenance not fixed two day,water issue
website login slowdown regarding hostel block request immediate action,other
please take action unsafe interaction corridor happening around main library keep repeating,harassment
class facing attendance record error three day keep repeating,academic issue
discrimination verbal abuse classroom,harassment
inappropriate behavior staff person auditorium three day request immediate action inappropriate behavior,harassment
mark not updated main gate affecting academic progress request immediate action,academic issue
please repair campus wifi dead zone classroom amount soon request immediate action,infrastructure
experienced threatening behavior senior toward junior parking area feel unsafe request immediate action,harassment
please help exam timetable clash classroom amount semester,academic issue
finance office not fixed duplicate payment deduction despite multiple reminder keep repeating,fees/finance
practical exam delay fee counter semester request immediate action,academic issue
please help ragging senior student hostel block creating threatening environment,harassment
please help power outage auditorium exam time,electricity
water tank overflow canteen since two week keep repeating,water issue
student affected broken lab bench engineering block keep repeating,infrastructure
please help charged payment receipt missing need correction urgently,fees/finance
please help fee counter broken classroom chair need maintenance,infrastructure
please help collapsed false ceiling panel computer lab two week,infrastructure
please help admin office pipeline blockage maintenance not fixed one week,water issue
sudden blackout night fee counter affecting class two day request immediate action,electricity
please help general complaint card replacement delay main library,other
class facing attendance record error three day keep repeating,academic issue
please help take action senior ragging freshman hostel happening around computer lab,harassment
please take action bullying senior happening around canteen request immediate,harassment
please help collapsed false ceiling panel hostel block three day,infrastructure
lost found support needed regarding main gate keep repeating,other
hostel fee overcharge related computer lab payment keep repeating,fees/finance
please help experienced verbal abuse parking area feel unsafe,harassment
please help bus schedule confusion regarding auditorium,other
please help resolve course registration bug academic system,academic issue
please help no water supply north corridor since two day,water issue
please help no water supply engineering block since one week,water issue
please help ragging senior student auditorium creating threatening environment,harassment
poor ventilation hostel block one week request immediate action,infrastructure
please look canteen menu complaint engineering block keep repeating,other
please help harassing message senior student person science lab several week,harassment
contaminated tap water computer lab since two week request immediate action,water issue
please help bus schedule confusion regarding auditorium,other
sexual harassment complaint classroom amount creating threatening environment keep repeating sexual harassment,harassment
damaged ceiling tile hostel block one week keep repeating,infrastructure
student affected broken lab bench parking area keep repeating,infrastructure
installment plan not updated related engineering block payment request immediate action,fees/finance
hostel fee overcharge related parking area payment keep repeating,fees/finance
classroom fan not working science lab exam time keep repeating,electricity
practical exam delay main gate semester request immediate action,academic issue
please help resolve course registration bug academic system,academic issue
charged refund pending need correction urgently request immediate action,fees/finance
inappropriate behavior staff person main library two day request immediate action inappropriate behavior,harassment
please help spark wiring admin office affecting class three day,electricity
finance office not fixed duplicate payment deduction despite multiple reminder keep repeating,fees/finance
facing drain water backflow computer lab almost every day request immediate action,water issue
student reported foul smell water science lab repeatedly request immediate action,water issue
late fee charged incorrectly account unresolved three day keep repeating,fees/finance
please repair campus wifi dead zone science lab soon request immediate action,infrastructure
