complaint_text,category
"please help, there is no water supply in north corridor since two days",water issue
"students reported low water pressure at classroom 105 repeatedly, this keeps repeating.",water issue
admin office has dirty drinking water and maintenance has not fixed it for two weeks. request immediate action.,water issue
"please help, we are facing severe water leakage in engineering block almost every day",water issue
"there is water tank overflow in engineering block since two days, this keeps repeating.",water issue
students reported foul smell from water at admin office repeatedly. request immediate action.,water issue
"please help, main gate has pipeline blockage and maintenance has not fixed it for two weeks",water issue
"we are facing intermittent water cut in hostel block a almost every day, this keeps repeating.",water issue
there is contaminated tap water in classroom 203 since several weeks. request immediate action.,water issue
"please help, students reported bathroom tap not working at fee counter repeatedly",water issue
"auditorium has hostel washroom water shortage and maintenance has not fixed it for one week, this keeps repeating.",water issue
we are facing drain water backflow in auditorium almost every day. request immediate action.,water issue
"please help, there is no water supply in hostel block b since many days",water issue
"students reported low water pressure at north corridor repeatedly, this keeps repeating.",water issue
hostel block a has dirty drinking water and maintenance has not fixed it for two weeks. request immediate action.,water issue
"please help, we are facing severe water leakage in admin office almost every day",water issue
"there is water tank overflow in north corridor since several weeks, this keeps repeating.",water issue
students reported foul smell from water at engineering block repeatedly. request immediate action.,water issue
"please help, main library has pipeline blockage and maintenance has not fixed it for two days",water issue
"we are facing intermittent water cut in classroom 105 almost every day, this keeps repeating.",water issue
there is contaminated tap water in parking area since two days. request immediate action.,water issue
"please help, students reported bathroom tap not working at fee counter repeatedly",water issue
"computer lab has hostel washroom water shortage and maintenance has not fixed it for two weeks, this keeps repeating.",water issue
we are facing drain water backflow in fee counter almost every day. request immediate action.,water issue
"please help, there is no water supply in hostel block a since one month",water issue
"students reported low water pressure at admin office repeatedly, this keeps repeating.",water issue
engineering block has dirty drinking water and maintenance has not fixed it for two days. request immediate action.,water issue
"please help, we are facing severe water leakage in hostel block a almost every day",water issue
"there is water tank overflow in main gate since one month, this keeps repeating.",water issue
students reported foul smell from water at canteen repeatedly. request immediate action.,water issue
"please help, canteen has pipeline blockage and maintenance has not fixed it for two days",water issue
"we are facing intermittent water cut in science lab almost every day, this keeps repeating.",water issue
there is contaminated tap water in fee counter since one week. request immediate action.,water issue
"please help, students reported bathroom tap not working at engineering block repeatedly",water issue
"auditorium has hostel washroom water shortage and maintenance has not fixed it for one month, this keeps repeating.",water issue
we are facing drain water backflow in main library almost every day. request immediate action.,water issue
"please help, there is no water supply in north corridor since three days",water issue
"students reported low water pressure at fee counter repeatedly, this keeps repeating.",water issue
classroom 203 has dirty drinking water and maintenance has not fixed it for three days. request immediate action.,water issue
"please help, we are facing severe water leakage in hostel block a almost every day",water issue
"there is water tank overflow in classroom 105 since two days, this keeps repeating.",water issue
students reported foul smell from water at parking area repeatedly. request immediate action.,water issue
"please help, canteen has pipeline blockage and maintenance has not fixed it for several weeks",water issue
"we are facing intermittent water cut in classroom 105 almost every day, this keeps repeating.",water issue
there is contaminated tap water in computer lab since two weeks. request immediate action.,water issue
"please help, students reported bathroom tap not working at canteen repeatedly",water issue
"engineering block has hostel washroom water shortage and maintenance has not fixed it for several weeks, this keeps repeating.",water issue
we are facing drain water backflow in computer lab almost every day. request immediate action.,water issue
"please help, there is no water supply in hostel block a since several weeks",water issue
"students reported low water pressure at engineering block repeatedly, this keeps repeating.",water issue
classroom 203 has dirty drinking water and maintenance has not fixed it for one month. request immediate action.,water issue
"please help, we are facing severe water leakage in parking area almost every day",water issue
"there is water tank overflow in main library since three days, this keeps repeating.",water issue
students reported foul smell from water at science lab repeatedly. request immediate action.,water issue
"please help, fee counter has pipeline blockage and maintenance has not fixed it for two weeks",water issue
"we are facing intermittent water cut in classroom 203 almost every day, this keeps repeating.",water issue
there is contaminated tap water in engineering block since two weeks. request immediate action.,water issue
"please help, students reported bathroom tap not working at canteen repeatedly",water issue
"fee counter has hostel washroom water shortage and maintenance has not fixed it for three days, this keeps repeating.",water issue
we are facing drain water backflow in auditorium almost every day. request immediate action.,water issue
"please help, there is no water supply in engineering block since one week",water issue
"students reported low water pressure at science lab repeatedly, this keeps repeating.",water issue
north corridor has dirty drinking water and maintenance has not fixed it for one month. request immediate action.,water issue
"please help, we are facing severe water leakage in classroom 105 almost every day",water issue
"there is water tank overflow in computer lab since three days, this keeps repeating.",water issue
students reported foul smell from water at computer lab repeatedly. request immediate action.,water issue
"please help, main gate has pipeline blockage and maintenance has not fixed it for two weeks",water issue
"we are facing intermittent water cut in fee counter almost every day, this keeps repeating.",water issue
there is contaminated tap water in main gate since two weeks. request immediate action.,water issue
"please help, students reported bathroom tap not working at auditorium repeatedly",water issue
"classroom 105 has hostel washroom water shortage and maintenance has not fixed it for one month, this keeps repeating.",water issue
we are facing drain water backflow in computer lab almost every day. request immediate action.,water issue
"please help, there is no water supply in admin office since three days",water issue
"students reported low water pressure at hostel block b repeatedly, this keeps repeating.",water issue
north corridor has dirty drinking water and maintenance has not fixed it for many days. request immediate action.,water issue
"please help, we are facing severe water leakage in north corridor almost every day",water issue
"there is water tank overflow in canteen since two weeks, this keeps repeating.",water issue
students reported foul smell from water at science lab repeatedly. request immediate action.,water issue
"please help, computer lab has pipeline blockage and maintenance has not fixed it for two weeks",water issue
"we are facing intermittent water cut in engineering block almost every day, this keeps repeating.",water issue
there is contaminated tap water in parking area since several weeks. request immediate action.,water issue
"please help, students reported bathroom tap not working at auditorium repeatedly",water issue
"north corridor has hostel washroom water shortage and maintenance has not fixed it for one month, this keeps repeating.",water issue
we are facing drain water backflow in fee counter almost every day. request immediate action.,water issue
"please help, there is no water supply in main library since three days",water issue
"students reported low water pressure at admin office repeatedly, this keeps repeating.",water issue
computer lab has dirty drinking water and maintenance has not fixed it for two weeks. request immediate action.,water issue
"please help, we are facing severe water leakage in hostel block a almost every day",water issue
"there is water tank overflow in north corridor since two days, this keeps repeating.",water issue
students reported foul smell from water at hostel block a repeatedly. request immediate action.,water issue
"please help, admin office has pipeline blockage and maintenance has not fixed it for one week",water issue
"we are facing intermittent water cut in canteen almost every day, this keeps repeating.",water issue
there is contaminated tap water in classroom 105 since many days. request immediate action.,water issue
"please help, students reported bathroom tap not working at science lab repeatedly",water issue
"hostel block b has hostel washroom water shortage and maintenance has not fixed it for one week, this keeps repeating.",water issue
we are facing drain water backflow in canteen almost every day. request immediate action.,water issue
"please help, there is no water supply in parking area since three days",water issue
"students reported low water pressure at engineering block repeatedly, this keeps repeating.",water issue
hostel block a has dirty drinking water and maintenance has not fixed it for three days. request immediate action.,water issue
"please help, we are facing severe water leakage in hostel block b almost every day",water issue
"please help, there is power outage in hostel block a during evening hours",electricity
"main library keeps having frequent voltage fluctuation for two days, this keeps repeating.",electricity
we noticed electric shock from socket near computer lab and this is unsafe. request immediate action.,electricity
"please help, sparks in wiring in north corridor is affecting classes for several weeks",electricity
"there is classroom fan not working in science lab during exam time, this keeps repeating.",electricity
classroom 203 keeps having light failure in corridor for one month. request immediate action.,electricity
"please help, we noticed generator backup failure near north corridor and this is unsafe",electricity
"short circuit near panel in classroom 203 is affecting classes for two weeks, this keeps repeating.",electricity
there is broken switch board in north corridor during night. request immediate action.,electricity
"please help, classroom 105 keeps having lab equipment not powered for one week",electricity
"we noticed dark stairway due to no lights near fee counter and this is unsafe, this keeps repeating.",electricity
sudden blackout at night in classroom 203 is affecting classes for three days. request immediate action.,electricity
"please help, there is power outage in admin office during exam time",electricity
"engineering block keeps having frequent voltage fluctuation for two weeks, this keeps repeating.",electricity
we noticed electric shock from socket near classroom 105 and this is unsafe. request immediate action.,electricity
"please help, sparks in wiring in main gate is affecting classes for three days",electricity
"there is classroom fan not working in auditorium during exam time, this keeps repeating.",electricity
classroom 203 keeps having light failure in corridor for two days. request immediate action.,electricity
"please help, we noticed generator backup failure near classroom 105 and this is unsafe",electricity
"short circuit near panel in parking area is affecting classes for one week, this keeps repeating.",electricity
there is broken switch board in computer lab during exam time. request immediate action.,electricity
"please help, hostel block b keeps having lab equipment not powered for one month",electricity
"we noticed dark stairway due to no lights near north corridor and this is unsafe, this keeps repeating.",electricity
sudden blackout at night in north corridor is affecting classes for two days. request immediate action.,electricity
"please help, there is power outage in hostel block b during evening hours",electricity
"north corridor keeps having frequent voltage fluctuation for two days, this keeps repeating.",electricity
we noticed electric shock from socket near classroom 105 and this is unsafe. request immediate action.,electricity
"please help, sparks in wiring in admin office is affecting classes for three days",electricity
"there is classroom fan not working in classroom 105 during evening hours, this keeps repeating.",electricity
engineering block keeps having light failure in corridor for one week. request immediate action.,electricity
"please help, we noticed generator backup failure near computer lab and this is unsafe",electricity
"short circuit near panel in parking area is affecting classes for two days, this keeps repeating.",electricity
there is broken switch board in classroom 203 during evening hours. request immediate action.,electricity
"please help, engineering block keeps having lab equipment not powered for several weeks",electricity
"we noticed dark stairway due to no lights near science lab and this is unsafe, this keeps repeating.",electricity
sudden blackout at night in computer lab is affecting classes for three days. request immediate action.,electricity
"please help, there is power outage in auditorium during exam time",electricity
"classroom 203 keeps having frequent voltage fluctuation for several weeks, this keeps repeating.",electricity
we noticed electric shock from socket near computer lab and this is unsafe. request immediate action.,electricity
"please help, sparks in wiring in computer lab is affecting classes for one week",electricity
"there is classroom fan not working in science lab during night, this keeps repeating.",electricity
north corridor keeps having light failure in corridor for one month. request immediate action.,electricity
"please help, we noticed generator backup failure near engineering block and this is unsafe",electricity
"short circuit near panel in classroom 203 is affecting classes for two weeks, this keeps repeating.",electricity
there is broken switch board in parking area during exam time. request immediate action.,electricity
"please help, north corridor keeps having lab equipment not powered for one month",electricity
"we noticed dark stairway due to no lights near classroom 105 and this is unsafe, this keeps repeating.",electricity
sudden blackout at night in north corridor is affecting classes for one month. request immediate action.,electricity
"please help, there is power outage in computer lab during exam time",electricity
"classroom 105 keeps having frequent voltage fluctuation for two days, this keeps repeating.",electricity
we noticed electric shock from socket near parking area and this is unsafe. request immediate action.,electricity
"please help, sparks in wiring in classroom 105 is affecting classes for two weeks",electricity
"there is classroom fan not working in classroom 203 during evening hours, this keeps repeating.",electricity
auditorium keeps having light failure in corridor for many days. request immediate action.,electricity
"please help, we noticed generator backup failure near computer lab and this is unsafe",electricity
"short circuit near panel in hostel block a is affecting classes for one month, this keeps repeating.",electricity
there is broken switch board in admin office during exam time. request immediate action.,electricity
"please help, classroom 203 keeps having lab equipment not powered for one week",electricity
"we noticed dark stairway due to no lights near north corridor and this is unsafe, this keeps repeating.",electricity
sudden blackout at night in engineering block is affecting classes for many days. request immediate action.,electricity
"please help, there is power outage in main library during night",electricity
"engineering block keeps having frequent voltage fluctuation for three days, this keeps repeating.",electricity
we noticed electric shock from socket near fee counter and this is unsafe. request immediate action.,electricity
"please help, sparks in wiring in main gate is affecting classes for many days",electricity
"there is classroom fan not working in main library during exam time, this keeps repeating.",electricity
canteen keeps having light failure in corridor for three days. request immediate action.,electricity
"please help, we noticed generator backup failure near classroom 203 and this is unsafe",electricity
"short circuit near panel in north corridor is affecting classes for several weeks, this keeps repeating.",electricity
there is broken switch board in parking area during night. request immediate action.,electricity
"please help, auditorium keeps having lab equipment not powered for many days",electricity
"we noticed dark stairway due to no lights near hostel block a and this is unsafe, this keeps repeating.",electricity
sudden blackout at night in fee counter is affecting classes for two days. request immediate action.,electricity
"please help, there is power outage in classroom 105 during night",electricity
"hostel block a keeps having frequent voltage fluctuation for two days, this keeps repeating.",electricity
we noticed electric shock from socket near parking area and this is unsafe. request immediate action.,electricity
"please help, sparks in wiring in admin office is affecting classes for two weeks",electricity
"there is classroom fan not working in auditorium during evening hours, this keeps repeating.",electricity
canteen keeps having light failure in corridor for several weeks. request immediate action.,electricity
"please help, we noticed generator backup failure near auditorium and this is unsafe",electricity
"short circuit near panel in computer lab is affecting classes for many days, this keeps repeating.",electricity
there is broken switch board in north corridor during evening hours. request immediate action.,electricity
"please help, hostel block b keeps having lab equipment not powered for many days",electricity
